[dash-shell] not claiming dash:// from capture-cockpit.mjs — only the app's own entry point may be the handler
[dash-shell] DASH_DATA_DIR override in effect: C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar793-after\store
[dash-shell] allowed command=glance.looked id=af8c52fa-7eab-4fc3-bd84-9a8bc2cfd351 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=95fb5547-f1f9-4313-9292-2770d3fa249f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e8d5fd84-7142-4554-af5d-1ad3506cdab6 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=83665801-313d-4151-8346-c67aadae61b1 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=52794660-8ac1-4bcc-9c27-7ce0fddc153b keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=166a17b6-2468-4684-a36e-d9c87f97672e keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4205af79-f284-4a9e-9fcb-0c41b83ee48e keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=420de4ac-844a-44d2-b70f-239f60e46fcf keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=a604761a-a3a6-4505-aae3-c06d0a90ea4d keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=c1cb17cc-34b0-47e7-962f-ab804ca724f3 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=c33a380f-5cc6-4cc0-8cff-894a760bd640 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=0afa92a4-abc9-4a76-b217-af4710c82648 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=70b92f7f-28e5-4dab-8d56-7e690e900c85 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=8a6a3a98-fc9c-4ae5-86bd-d18653736de6 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=ecca8cd0-49ce-4909-990c-d4d702bed63b keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=6a414307-786c-41e9-a6f4-d4869c951b07 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=df3b8817-7682-483c-b02d-6546691c8099 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=dca868aa-a977-45c2-a079-26a72d426cc5 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2d8ae745-0ac5-4184-be2d-f24ac95eba31 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=89f207b6-b91e-4f90-ba9a-c957c60e9cc3 keys=[agent_id] mutates=true
